VALUE,EVT_Fuel,EVT_Name,EVT_LF,SystemGroupID,SystmGrpPhys,SystmGrpName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,r,g,b,Red,Green,Blue
3205,2205,Tsuga mertensiana-Abies amabilis Woodland Alliance,Tree,627,Conifer,Mountain Hemlock Forest and Woodland,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,71,0,0.000000,0.278431,0.000000
3206,2206,Pseudotsuga menziesii Giant Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,130,0,0.000000,0.509804,0.000000
3207,2132,Central Mixedgrass Prairie,Shrub,646,Grassland,Mixedgrass Prairie,SRM 704: Blue Grama-Western Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,241,140,1.000000,0.945098,0.549020
3208,2208,Abies concolor Forest Alliance,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,204,0,0.000000,0.800000,0.000000
3209,2148,Western Great Plains Sand Prairie,Shrub,647,Grassland,Sand Prairie,SRM 720: Sand Bluestem -Little Bluestem Dunes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,148,71,1.000000,0.580392,0.278431
3210,2210,Coleogyne ramosissima Shrubland Alliance,Shrub,606,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,Shrub-dominated,Shrubland,Evergreen shrubland,140,112,80,0.549020,0.439216,0.313725
3211,2211,Grayia spinosa Shrubland Alliance,Shrub,613,Shrubland,Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,156,128,92,0.611765,0.501961,0.360784
3212,2094,Western Great Plains Sandhill Steppe,Herb,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,112,82,57,0.439216,0.321569,0.223529
3213,2213,Quercus havardii Shrubland Alliance,Shrub,696,Conifer-Hardwood,Juniper-Oak,SRM 730: Sand Shinnery Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140,47,10,0.549020,0.184314,0.039216
3214,2214,Arctostaphylos patula Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.349020,0.231373,0.156863
3215,2215,Quercus turbinella Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.349020,0.231373,0.156863
3216,2216,Cercocarpus montanus Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,89,59,40,0.349020,0.231373,0.156863
3217,2217,Quercus gambelii Shrubland Alliance,Shrub,612,Shrubland,Deciduous Shrubland,SRM 413: Gambel Oak,Shrub-dominated,Shrubland,Deciduous shrubland,245,175,54,0.960784,0.686275,0.211765
3220,2220,Artemisia tridentata ssp. vaseyana Shrubland Alliance,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,219,140,37,0.858824,0.549020,0.145098
3227,2227,Dry-mesic Montane Douglas-fir Forest,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0.000000,0.200000,0.000000
3228,2228,Dry-mesic Montane Western Larch Forest,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Evergreen open tree canopy,180,255,148,0.705882,1.000000,0.580392
3229,2229,Pinus albicaulis Woodland Alliance,Tree,640,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,191,255,233,0.749020,1.000000,0.913725
3230,2230,Pinus sabiniana Woodland Alliance,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,121,217,207,0.474510,0.850980,0.811765
3231,2231,Sequoiadendron giganteum Forest Alliance,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,222,0,0.000000,0.870588,0.000000
3232,2232,Abies grandis Forest Forest,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,96,255,71,0.376471,1.000000,0.278431
3233,2233,Subalpine Douglas-fir Forest,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0.000000,0.200000,0.000000
3234,2234,Mesic Montane Douglas-fir Forest,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0.000000,0.200000,0.000000
3235,2235,Xeric Montane Douglas-fir Forest,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0.000000,0.200000,0.000000
3236,2236,Subalpine Western Larch Forest,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180,255,148,0.705882,1.000000,0.580392
3237,2237,Mesic Montane Western Larch Forest,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180,255,148,0.705882,1.000000,0.580392
3238,2238,Laurentian-Acadian Northern Oak Forest,Tree,665,Hardwood,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
3239,2239,Laurentian-Acadian Northern Pine-Oak Forest,Tree,665,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
3240,2240,Laurentian-Acadian Hardwood Forest,Tree,685,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0.000000,0.360784,0.000000
3241,2241,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,685,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,92,0,0.000000,0.360784,0.000000
3242,2242,Laurentian Oak Barrens,Tree,676,Hardwood,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
3243,2243,Laurentian Pine-Oak Barrens,Tree,676,Conifer-Hardwood,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
3244,2244,Boreal Hardwood Forest,Tree,693,Hardwood,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,182,250,227,0.713725,0.980392,0.890196
3245,2245,Boreal White Spruce-Fir-Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,182,250,227,0.713725,0.980392,0.890196
3247,2414,Southern Appalachian Grass and Shrub Bald,Herb,670,Conifer-Hardwood,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569,0.203922,0.133333
3248,2436,Northern Atlantic Coastal Plain Dune and Swale,Herb,654,Grassland,Atlantic Dunes and Grasslands,LF 57: Dunes and Maritime Grasslands,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,98,41,1.000000,0.384314,0.160784
3249,2452,Atlantic Coastal Plain Peatland Pocosin and Canebrake,Shrub,687,Shrubland,Pocosin,LF 48: Pocosin,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91,195,199,0.356863,0.764706,0.780392
3250,2062,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrub,628,Shrubland,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,155,235,216,0.607843,0.921569,0.847059
3251,2159,Rocky Mountain Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.286275,0.670588,0.729412
3252,2160,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.721569,0.376471,0.094118
3253,2162,Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6,53,122,0.023529,0.207843,0.478431
3254,2162,Western Great Plains Floodplain Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.023529,0.207843,0.478431
3255,2154,Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.286275,0.670588,0.729412
3256,2121,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Herb,618,Grassland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid grassland,255,204,51,1.000000,0.800000,0.200000
3257,2151,California Central Valley Riparian Woodland and Shrubland,Herb,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Perennial graminoid grassland,81,180,141,0.317647,0.705882,0.552941
3258,2155,North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
3259,2180,Introduced Riparian Vegetation,Shrub,701,Exotic Tree-Shrub,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,255,105,46,1.000000,0.411765,0.180392
3260,2260,Mediterranean California Lower Montane Black Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,0,189,0,0.000000,0.741176,0.000000
3261,2261,Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy,0,189,0,0.000000,0.741176,0.000000
3262,2262,East Cascades Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,214,255,181,0.839216,1.000000,0.709804
3263,2263,East Cascades Oak - Ponderosa Pine Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy,214,255,181,0.839216,1.000000,0.709804
3264,2264,California Lower Montane Blue Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Deciduous closed tree canopy,121,217,207,0.474510,0.850980,0.811765
3265,2265,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous closed tree canopy,121,217,207,0.474510,0.850980,0.811765
3266,2266,Oregon White Oak Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,0,130,0,0.000000,0.509804,0.000000
3267,2267,Douglas-fir - Oregon White Oak Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy,0,130,0,0.000000,0.509804,0.000000
3268,2331,Eastern Great Plains Tallgrass Aspen Parkland,Shrub,602,Shrubland,"Aspen Forest, Woodland, and Parkland",SRM 16: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,192,255,138,0.752941,1.000000,0.541176
3269,2407,Laurentian Pine Barrens,Shrub,676,Shrubland,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous shrubland,174,245,224,0.682353,0.960784,0.878431
3270,2412,North-Central Interior Sand and Gravel Tallgrass Prairie,Shrub,649,Shrubland,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255,137,64,1.000000,0.537255,0.250980
3271,2444,Eastern Boreal Floodplain,Herb,676,Riparian,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Perennial graminoid grassland,174,245,224,0.682353,0.960784,0.878431
3272,2444,Eastern Boreal Floodplain,Shrub,676,Riparian,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous shrubland,174,245,224,0.682353,0.960784,0.878431
3273,2469,Eastern Great Plains Floodplain,Herb,666,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.023529,0.207843,0.478431
3274,2471,Central Interior and Appalachian Floodplain Systems,Herb,666,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Perennial graminoid grassland,0,92,0,0.000000,0.360784,0.000000
3275,2471,Central Interior and Appalachian Floodplain Systems,Shrub,666,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,0,92,0,0.000000,0.360784,0.000000
3276,2475,Laurentian-Acadian Floodplain Systems,Herb,666,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Perennial graminoid grassland,50,137,168,0.196078,0.537255,0.658824
3277,2475,Laurentian-Acadian Floodplain Systems,Shrub,666,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,50,137,168,0.196078,0.537255,0.658824
3278,2477,Boreal Acidic Peatland Systems,Herb,683,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Perennial graminoid grassland,186,163,119,0.729412,0.639216,0.466667
3279,2477,Boreal Acidic Peatland Systems,Shrub,683,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186,163,119,0.729412,0.639216,0.466667
3280,2479,Central Interior and Appalachian Swamp Systems,Shrub,694,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,0,92,0,0.000000,0.360784,0.000000
3281,2481,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Shrub,694,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50,137,168,0.196078,0.537255,0.658824
3282,2492,Great Lakes Coastal Marsh Systems,Shrub,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000,0.360784,0.149020
3283,2493,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,675,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,91,195,199,0.356863,0.764706,0.780392
3284,2494,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000,0.360784,0.149020
3285,2494,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255,92,38,1.000000,0.360784,0.149020
3286,2517,Paleozoic Plateau Bluff and Talus,Herb,663,Grassland,Black Oak Woodland and Savanna,SAF 110: Black Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,85,187,194,0.333333,0.733333,0.760784
3287,2539,Modified/Managed Northern Tallgrass Grassland,Shrub,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255,204,0,1.000000,0.800000,0.000000
3288,2377,Central Appalachian Rocky Pine Woodland,Shrub,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980,0.270588,0.521569
3289,2389,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrub,651,Shrubland,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
3290,2395,North-Central Oak Barrens,Herb,663,Hardwood,Black Oak Woodland and Savanna,SAF 14: Northern Pin Oak,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,44,127,163,0.172549,0.498039,0.639216
3291,2401,Central Interior Highlands Calcareous Glade and Barrens,Herb,670,Conifer-Hardwood,Glades and Barrens,SRM 803: Missouri Glades,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,255,153,0,1.000000,0.600000,0.000000
3292,11,Open Water,Water,11,Open Water,Open Water,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0.000000,0.000000,1.000000
3293,12,Snow-Ice,Barren,12,Snow-Ice,Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,159,161,240,0.623529,0.631373,0.941176
3294,31,Barren,Barren,31,Barren,Barren,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,191,191,191,0.749020,0.749020,0.749020
3295,32,Quarries-Strip Mines-Gravel Pits,Barren,32,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits,Non-vegetated,Non-vegetated,Non-vegetated,Developed,191,191,191,0.749020,0.749020,0.749020
3296,2902,Developed-Low Intensity,Developed,22,Developed-Low Intensity,Developed-Low Intensity,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000,0.478431,0.560784
3297,2903,Developed-Medium Intensity,Developed,23,Developed-Medium Intensity,Developed-Medium Intensity,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.992157,0.172549,0.309804
3298,2904,Developed-High Intensity,Developed,24,Developed-High Intensity,Developed-High Intensity,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,173,0,28,0.678431,0.000000,0.109804
3299,2905,Developed-Roads,Developed,25,Developed-Roads,Developed-Roads,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,255,255,255,1.000000,1.000000,1.000000
3300,2472,Central Interior and Appalachian Riparian Systems,Herb,668,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000,0.360784,0.000000
3301,2301,Boreal Aspen-Birch Forest,Tree,652,Hardwood,Aspen-Birch Forest,SAF 16: Aspen,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,192,255,138,0.752941,1.000000,0.541176
3302,2302,Laurentian-Acadian Northern Hardwoods Forest,Tree,682,Hardwood,Yellow Birch-Sugar Maple Forest,SAF 27: Sugar Maple,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171,255,138,0.670588,1.000000,0.541176
3303,2303,Northeastern Interior Dry-Mesic Oak Forest,Tree,660,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3304,2304,Ozark-Ouachita Dry-Mesic Oak Forest,Tree,660,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 53: White Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3305,2305,Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,661,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980,0.270588,0.521569
3306,2306,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3307,2307,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Tree,658,Hardwood,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3308,2308,Crosstimbers Oak Forest and Woodland,Tree,662,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85,187,194,0.333333,0.733333,0.760784
3309,2309,Southern Appalachian Northern Hardwood Forest,Tree,682,Hardwood,Yellow Birch-Sugar Maple Forest,SAF 55: Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,216,216,191,0.847059,0.847059,0.749020
3310,2310,North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,660,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3311,2311,North-Central Interior Dry Oak Forest and Woodland,Tree,663,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85,187,194,0.333333,0.733333,0.760784
3312,2312,Ouachita Montane Oak Forest,Tree,681,Hardwood,Montane Oak Forest,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3313,2313,North-Central Interior Beech-Maple Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 25: Sugar Maple-Beech-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0.000000,0.360784,0.000000
3314,2314,North-Central Interior Maple-Basswood Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 26: Sugar Maple-Basswood,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171,255,138,0.670588,1.000000,0.541176
3315,2315,Southern Appalachian Oak Forest,Tree,661,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980,0.270588,0.521569
3316,2316,Southern Piedmont Mesic Forest,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3317,2317,Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,661,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980,0.270588,0.521569
3318,2318,Southern and Central Appalachian Cove Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 58: Yellow Poplar-Eastern Hemlock,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,18,76,135,0.070588,0.298039,0.529412
3319,2472,Central Interior and Appalachian Riparian Systems,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000,0.360784,0.000000
3320,2320,Central and Southern Appalachian Montane Oak Forest,Tree,681,Hardwood,Montane Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3321,2321,South-Central Interior Mesophytic Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000,0.149020,0.450980
3322,2321,Crowley's Ridge Mesic Loess Slope Forest,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 53: White Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3323,2323,West Gulf Coastal Plain Mesic Hardwood Forest,Tree,680,Hardwood,Sweetgum-Water Oak Forest,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,145,255,115,0.568627,1.000000,0.450980
3324,2324,Northern Atlantic Coastal Plain Hardwood Forest,Tree,658,Hardwood,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3325,2325,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Tree,680,Hardwood,Sweetgum-Water Oak Forest,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,159,255,128,0.623529,1.000000,0.501961
